model,cv_mae_mean,cv_mae_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2
Lasso,8.867326450475181,0.39476153719151436,0.7137108824908106,0.033416777732907084,8.492015762272114,10.61224686030938,0.733249820774923
ElasticNet,8.900223202595079,0.3719763963593006,0.7119219086571679,0.03254042558529558,8.49875307794437,10.615345601037228,0.733094017703977
Ridge,8.870508909852822,0.3822868215126168,0.7131830539641625,0.033810165556810726,8.51796835629344,10.643598534763942,0.7316713768587411
LinearRegression,8.870349755588375,0.38294817563779954,0.7131697331419048,0.03384633063082854,8.519699435557653,10.64505204983681,0.73159808466758
GradientBoosting,9.601253753807237,0.41627672494952295,0.6621573426281977,0.046909441892294235,8.576627048418615,10.836000700406723,0.7218826510835441
ExtraTrees,9.609928374999999,0.40206728373725326,0.6593544067659969,0.049486959119896735,8.77315625,11.072309904996677,0.7096201358487342
RandomForest,9.673684,0.3132681122686304,0.6519430185956939,0.046921288290991986,8.782680999999998,11.031991673817334,0.7117310389599838
AdaBoost,10.296913985605991,0.7087569186035209,0.6115136024609771,0.049737611183366934,8.999617350097406,11.467857230027656,0.6885024844754293
SVR_RBF,9.539304678140079,0.2185400246193597,0.6620114478896326,0.04266831664527888,9.107849747322092,11.521136192942887,0.6856013640901715
KNeighbors,10.581058928571426,0.4412039880184304,0.5871033947389288,0.045738932387317896,9.940428571428571,12.33371874089854,0.639688508749295
DecisionTree,13.408627591299199,1.0081246655035565,0.33047054892930505,0.1411685758056548,13.817602162796879,17.585853158842113,0.2674843342343708
